"","data:Lot Created On","data:Lot Opened On","data:Work Commenced On","data:Work Completed On","data:Work Completed On","data:Lot Type","data:From and To Chainage","data:Construction Element","data:Activity","data:Design Package No","data:Traffic Direction","data:Engineer Responsible","data:comments","data:Print Name:","data:Date:","data:Lot verified By","data:Is the relevant NCR attached to the Lot?","data:Lot Status","data:Lot Closed On"
"ITP-075-A1-LOT-004 - Hume Hwy South - Base Course","27/07/2022","3/08/2022","3/08/2022","03/08/2022",,"CIL-Civil Lot","70320-70145","PAVI - Paving","PAVI - Asphalt Placement",""," ME - Median","James Moran","","Philip Klenkowski","15/09/2022","Babak Rudd-Project Quality Manager"," N/A","OUTSTANDING",""
"ITP-075-A1-LOT-005 - Hume Hwy South - Intermediate Course","27/07/2022","27/07/2022","30/07/2022","03/08/2022",,"CIL-Civil Lot","70285-70145","PAVI - Paving","PAVI - Asphalt Placement",""," ME - Median","James Moran","","Philip Klenkowski","15/09/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","05/04/2023"
"ITP-075-A1-LOT-006 - Hume Hwy North (Sth Bound) - Intermediate Course","3/08/2022","31/07/2022","31/07/2022","31/07/2022",,"CIL-Civil Lot","70495-70310","PAVI - Paving","PAVI - Asphalt Placement",""," NB - Northbound","James Moran","","Philip Klenkowski","16/09/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","14/04/2023"
"ITP-075-A1-LOT-007 - Hume Hwy North (Sth Bound) - Base Course CH70462 - CH70430","19/08/2022","19/08/2022","19/08/2022","26/06/2022",,"CIL-Civil Lot","70462-70430","PAVI - Paving","PAVI - Asphalt Placement","","","Philip Klenkowski","","Philip Klenkowski","15/09/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","05/04/2023"
"ITP-075-A1-LOT-008 - Hume Hwy North (Sth Bound) - Intermediate Course CH70462 - CH70430","19/08/2022","19/08/2022","19/08/2022","26/08/2022",,"","70462-70430","PAVI - Paving","PAVI - Asphalt Placement","","","Philip Klenkowski","","Philip Klenkowski ","15/09/2022"," Nicolas Terpstra (Delivery Manager)"," N/A"," CLOSED","05/04/2023"
"ITP-075-A1-LOT-009 - Bridgewater Road PT3 - Base - CH25080 - CH25120","22/01/2023","22/01/2023","22/01/2023","",,"CIL-Civil Lot","CH25080 - CH25120","PAVI - Paving","PAVI - Asphalt Placement","","EB - Eastbound","Ahmad El Wazer","","","","","","",""
"ITP-075-A1-LOT-010 - Bridgewater Road PT3 - Intermediate - CH25080 - CH25120","22/01/2023","22/01/2023","22/01/2023","",,"CIL-Civil Lot","25075-25120","PAVI - Paving","PAVI - Asphalt Placement",""," WB - Westbound","Ahmad El Wazer","","","","","","",""
"ITP-075-A1-LOT-011 - Bridgewater Road PT6 - Base - CH25090 CH25100","22/01/2023","22/01/2023","22/01/2023","",,"CIL-Civil Lot","CH25090 - CH25100","PAVI - Paving","PAVI - Asphalt Placement",""," NB - Northbound","Ahmad El Wazer","","","","","","",""
"ITP-075-A1-LOT-012 - Bridgewater Road PT6 - Intermediate - CH25090 - CH25100","","","","",,"","","","","","","Ahmad El Wazer","","","","","","",""
"ITP-075-A1-LOT-013 - Bridgewater Road PT10 - Patching 1 - CH25080 - CH25105","22/01/2023","22/01/2023","22/01/2023","",,"CIL-Civil Lot","CH25080 - CH25105","PAVI - Paving","PAVI - Asphalt Placement",""," NB - Northbound","Ahmad El Wazer","","","","","","",""
"ITP-075-A1-LOT-014 - Bridgewater Road PT10 - Patching 2- CH25080 - CH25105","","","","",,"","","","","","","Ahmad El Wazer","","","","","","",""
"ITP-075-A1-LOT-015 - Craigieburn Rd Eastbound - CH16010 to CH16300 - Layer 1","01-02-2023","01-02-2023","01-02-2023","",,"","CH 16010 to CH16300","PAVI - Paving","PAVI - Asphalt Placement","","EB - Eastbound","Qassim Al-Montafjy ","","","","","","",""
"ITP-075-A1-LOT-016 - Craigieburn Rd Westbound CH16080 to CH16260 - Layer 1","02/02/2023","02/02/2023","02/02/2023","",,"CIL-Civil Lot","CH 16080 - CH 16260","","",""," WB - Westbound","Qassim Al-Montafjy","","","","","","",""
"ITP-075-A1-LOT-017 - Craigieburn Rd WB - CH26160 to CH26360 Including Hume Slip Lane","03-02-2023","03-02-2023","03-02-2023","",,"CIL-Civil Lot","CH26160 - CH26360","PAVI - Paving","PAVI - Asphalt Placement",""," WB - Westbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","","","","",""
"ITP-075-A1-LOT-018 - Craigieburn Rd EB CH16290 to CH16360 (Layer 1)","07/02/2023","07/02/2023","07/02/2023","",,"","","PAVI - Paving","PAVI - Asphalt Placement","","","","","","","","","",""
"ITP-075-A1-LOT-019 - Craigieburn Rd EB CH16290 to CH16360 (Layer 2)","08/02/2023","08/02/2023","08/02/2023","",,"","","PAVI - Paving","PAVI - Asphalt Placement","","","","","","","","","",""
"ITP-075-A1-LOT-020 - Hume Slip Lane CH70070 to CH70200 - Base Course","07/02/2023","07/02/2023","07/02/2023","",,"","","PAVI - Paving","PAVI - Asphalt Placement","","","","","","","","","",""
"ITP-075-A1-LOT-021 - Craigieburn Rd Eastbound CH25910 to CH26020 - Base Course - Type 11","08/02/2023","08/02/2023","08/02/2023","",,"","","PAVI - Paving","PAVI - Asphalt Placement","","EB - Eastbound","Qassim Al-montafjy","","","","","","",""
"ITP-075-A1-LOT-022 - Craigieburn Rd Westbound CH16020 to CH16150 - Base Course","09/02/2023","09/02/2023","09/02/2023","",,"","","PAVI - Paving","PAVI - Asphalt Placement",""," WB - Westbound","","","","","","","",""
"ITP-075-A1-LOT-023 - Craigieburn Rd Eastbound CH25910 to CH26020 - Intermediate Course - Type 11","14/02/2023","14/02/2023","14/02/2023","",,"","","","","","","","","","","","","",""
"ITP-075-A1-LOT-024 - Craigieburn Rd Westbound CH16020 to CH16150 - Intermediate Course","10/02/23","10/02/23","10/02/23","",,"CIL-Civil Lot","CH16020 to CH16150","PAVI - Paving","PAVI - Asphalt Placement"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Darwin Dato","","","","","","",""
"ITP-075-A1-LOT-025 - Zone 3.1 Westbound CH14780 to CH15030 - SF layer","13/02/2023","13/02/2023","13/02/2023","",,"CIL-Civil Lot","CH14760 to CH15080","PAVI - Paving","PAVI - Asphalt Placement"," 1145-ACM-CVP-DPK-0001"," WB - Westbound","Khulood Hwayyis ","","","","","","",""
"ITP-075-A1-LOT-026 - Zone 3.1 Westbound CH14780 to CH15030 - SS layer","14/02/2023","14/02/2023","14/02/2023","",,"CIL-Civil Lot","CH15040 to CH15060","PAVI - Paving","PAVI - Asphalt Placement",""," WB - Westbound","Khulood Hwayyis ","","","","","","",""
"ITP-075-A1-LOT-027 - Zone 3.1 Westbound CH15040 to CH15070 - SF layer","14/02/2023","14/02/2023","14/02/2023","",,"CIL-Civil Lot","CH15040 to CH15080","PAVI - Paving","PAVI - Asphalt Placement","","","Khulood Hwayyis","","","","","","",""
"ITP-075-A1-LOT-028 - Zone 3.1 Westbound CH15040 to CH15070 - SS layer","1/03/2023","01/03/2023","01/03/2024","",,"","","","","","","","","","","","","",""
"ITP-075-A1-LOT-029 - WC -  Hume HWY STH BND 2 right turning lane & middle through lane ","21/02/2023","21/02/2023","21/02/2023","",,"","","PAVI - Paving","PAVI - Asphalt Placement","","","","","","","","","",""
"ITP-075-A1-LOT-030 - WC - Hume Sth Bnd to CRG Intersection shoulder and 2 through lanes","22/02/2023","22/02/2023","22/02/2023","",,"","","PAVI - Paving","PAVI - Asphalt Placement","","","","","","","","","",""
"ITP-075-A1-LOT-031- pt3 Walter/hardy intersection base course","10/03/2023","10/03/2023","10/03/2023","",,"","","PAVI - Paving","PAVI - Asphalt Placement","","","","","","","","","",""
"ITP-075-A1-LOT-032-Craigieburn to hume right turn & left turn slip to hume","10/03/2023","10/03/2023","10/03/2023","",,"","","","PAVI - Asphalt Placement","","","","","","","","","",""
"ITP-075-A1-LOT-033 - Zone 3.1-Slip lane-Type N-layer1","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-075-A1-LOT-034 - Zone 3.1-Slip lane-Type N- layer 1","","","","",,"","","","","","","Qassim Al-Montafjy","","","","","","",""
"ITP-075-A1-LOT-035 - SF Base course shell subway slip lane up to plaza west driveway","10/03/2023","10/03/2023","10/03/2023","",,"","","PAVI - Paving","PAVI - Asphalt Placement","","EB - Eastbound","","","","","","","",""
"ITP-075-A1-LOT-036 -SI intermediate course shell subway slip lane up to plaza west driveway","10/03/2023","10/03/2023","10/03/2023","",,"","","PAVI - Paving","PAVI - Asphalt Placement","","","","","","","","","",""
"ITP-075-A1-LOT-037 - Zone 3.1E Base course SF CH15119 to CH15215","29/05/23","29/05/23","29/05/23","",,"","15119 to 15215","PAVI - Paving","PAVI - Asphalt Placement",""," WB - Westbound","fadi hanna","","","","","","",""
"ITP-075-A1-LOT-038 - Zone 3.1E Base course SI CH15119 to CH15215","30/05/23","30/05/23","30/05/23","",,"","","PAVI - Paving","",""," WB - Westbound","Abdullah Abdullah","","","","","","",""
"ITP-076 - Permanent Roadside Signage",,,,,,,,,,,,,,,,,,,
"ITP-076-A1-LOT-001- Hume Hwy South Island - CH70100 to CH70280","23/08/2022","23/08/2022","23/08/2022","25/08/2022",,"","CH70100-CH70280","SIGN - Sign and Pavement Marking","SIGN - Sign","","","Philip Klenkowski ","","Philip Klenkowski","14/09/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","15/09/2022"
"ITP-076-A1-LOT-002 - Hume Hwy North Island CH70290 - CH540","23/08/2022","23/08/2022","24/08/2022","25/08/2022",,"CIL-Civil Lot","CH70290 - CH70540","SIGN - Sign and Pavement Marking","SIGN - Sign","","","Philip Klenkowski ","","Philip Klenkowski","14/09/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","15/09/2022"
"ITP-076-A1-LOT-003- Bridgewater Occu","23/01/2023","23/01/2023","23/01/2023","",,"CIL-Civil Lot","Ch15080 to Ch15120","SIGN - Sign and Pavement Marking","SIGN - Sign"," 1145-ACM-CVR-DPK-0002"," ME - Median","Khulood Hwayyis","DS116, DS149, S1685, S1704, S1705, S1706","","","","","",""
"ITP-076-A1-LOT-004 - Z1 Occupation ","27/02/2023","27/02/2023","27/02/2023","27/02/2023",,"CIL-Civil Lot","16090 to 16360","SIGN - Sign and Pavement Marking","SIGN - Sign","1145-ACM-CVD-DPK-0002","","Qassim Al-Montafjy","","Qassim Al-montafjy","30/03/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2023"
"ITP-076-A1-LOT-005 - Z2 Occupation - Shell - Hume ","28/02/2023","28/02/2023","28/02/2023","28/02/2023",,"CIL-Civil Lot","15950 to 16090","SIGN - Sign and Pavement Marking","SIGN - Sign","1145-ACM-CVD-DPK-0002","","Qassim Al-Montafjy","","Qassim Al-Montafjy","30/03/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2023"
"ITP-078 - Insitu Pit Construction",,,,,,,,,,,,,,,,,,,
"ITP-078-A1-LOT-001 - Pit 194 Base - Zone 3 East","4/11//2022","8/11/2022","11/11/2022","12/11/2022",,"CIL-Civil Lot","","STOR - Stormwater","IPC - Insitu Pit Construction",""," WB - Westbound","James Moran","Pit 194","James MOran","14/01/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","12/04/2023"
"ITP-078-A1-LOT-002 - Pit 194 - Wall Lift 1 - Zone 3 East","15/12/2022","16/11/2022","16/11/2022","16/11/2022",," STL- Structural Lot","","STOR - Stormwater","IPC - Insitu Pit Construction","","","James Moran","Insitu Pit - 194","James Moran","15/12/2022","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","13/01/2023"
"ITP-078-A1-LOT-003 - Pit 194 - Wall Lift 2 - Zone 3 East","13/01/2023","13/01/2023","23/11/2022","23/11/2023",," DRL- Drainage Lot","","STOR - Stormwater","IPC - Insitu Pit Construction","","","James Moran","","James Moran","14/01/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","3/02/2023"
"ITP-078-A1-LOT-004 - Pit 282 - Walter St Corner ","06/02/2023","06/02/2023","10/02/2023","13/02/2023",,"","CH16148 - CH16149","STOR - Stormwater","IPC - Insitu Pit Construction","","","Philip Klenkowski","","Philip Klenkowski","20/02/2023","","","",""
"ITP-078-A1-LOT-005 - Pit 317 - Balyang","","","","",,"","","","","","","Philip Klenkowski","","","","","","",""
"ITP-081 - Structural Crack Repair",,,,,,,,,,,,,,,,,,,
"ITP-082 - Structural Patch Repair",,,,,,,,,,,,,,,,,,,
"ITP-082-AX-LOT-XXX - Desc","","","","",,"","","","","","","","","","","","","",""
"ITP-083 - Precast Concrete Install",,,,,,,,,,,,,,,,,,,
"ITP-084 - Lime Stabilisation of Earthwork Materials",,,,,,,,,,,,,,,,,,,
"ITP-084-A1-LOT-001- Zone 1 - Craigieburrn Roundabout - CH26060 to CH26150","16/01/2023","16/01/2023","16/01/2023","25/01/2023",,"EAL - Earthworks","26060 to 26150","EART - Earthwork","TACAPLIM - TypeA Capping Lime Stab"," 1145-ACM-CVP-DPK-0001","","Qassim AL-Montafjy","","Qassim Al-montafjy","05/04/2023","Babak Rudd-Project Quality Manager"," N/A"," CLOSED","06/04/2023"
"ITP-084-A1-LOT-002- Zone 1 - Memorial Park East Bound - CH26260 to CH26340","17/01/2023","17/01/2023","17/01/2023","03/02/2023",,"EAL - Earthworks","26260 to 26340","EART - Earthwork","TACAPLIM - TypeA Capping Lime Stab"," 1145-ACM-CVP-DPK-0001","EB - Eastbound","Qassim Al-Montafjy","","Qassim Al-Montafjy","","","","",""
"ITP-084-A1-LOT-003 - Zone 4.4 - Between Aitken & Balyang","22/02/2023","22/02/2023","22/02/2023","",,"","","","","","","James Moran","","","","","","",""
"ITP-084-A1-LOT-004 - Zone 4 - CH14000 - CH14110","1/04/2023","1/04/2023","1/04/2023","",,"","","EART - Earthwork","TACAPLIM - TypeA Capping Lime Stab",""," WB - Westbound","James Moran","","","","","","",""
"ITP-084-A1-LOT-005 - Zone 4 - CH14110 - CH14250","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-084-A1-LOT-006 - Zone 4 - CH13560 - CH14000","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-084-A1-LOT-007 - Zone 4 - CH14250 - CH14360","","","","",,"","","","","","","James Moran","","","","","","",""
"ITP-085 - SUP Installation (HCC)",,,,,,,,,,,,,,,,,,,
"ITP-085-A1-LOT-001 - Aitken Reserve SUP","17/05/23","17/05/23","17/05/23","not started",,"","","","","","","Abdullah Abdullah ","","not started","","","","",""
"ITP-086 - Welding Carbon Reinforcement",,,,,,,,,,,,,,,,,,,
