"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2969c12f-b90a-5eec-a836-5d63a70f9d3b","","checklist-flat","work-in-progress","Project Details","checklist-flat","FALSE","FALSE","Project Details"
"6d506d64-3a3f-499a-b827-4fc9eba80496","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","QA - Mechanical  Inspections"
"546cef20-4800-5e91-8267-bb04e1389b5c","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 261-270","NZA05313","Pressure Test Report QCC-01.01"
"524f5ecb-657f-4e6b-8e83-da5c88caf11b","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 261-270","NZA05320"
"6255d4b4-352a-5cdb-bf31-2ddda215a274","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 261-270","NZA05320","TMV Manufacture Checklist"
"296adcd3-b881-55bb-a45e-d2f878c82933","","checklist-flat","not-started","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 261-270","NZA05320","Supply and Mount Warden Controlled TMV Valve Sets"
"dd43d048-100e-5689-a644-363cbc8c8ec7","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 261-270","NZA05320","Pressure Test Report QCC-01.01"
"1cabf810-05da-4843-a297-a54ac4921a18","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 261-270","NZA05315"
"818df8d3-32b9-5e8c-bf62-11c466b606ce","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 261-270","NZA05315","TMV Manufacture Checklist"
"f801b109-67cc-576d-9caf-54e7ec6ac519","","checklist-flat","not-started","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 261-270","NZA05315","Supply and Mount Warden Controlled TMV Valve Sets"
"e75c23a4-e563-5119-9aad-8fb1ddfc3a0a","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 261-270","NZA05315","Pressure Test Report QCC-01.01"
"4f094c04-80d2-49c1-b8be-a44147f96370","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280"
"49805f7b-9f99-4fd4-a451-495c69c43210","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05314"
"6d41845a-52ca-5bca-91ea-c977685a514f","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05314","TMV Manufacture Checklist"
"adf532eb-f410-5de6-91f3-e68cd7c9db09","","checklist-flat","not-started","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05314","Supply and Mount Warden Controlled TMV Valve Sets"
"eefcc742-0516-54e1-9642-d5cd006c2538","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05314","Pressure Test Report QCC-01.01"
"0e4e7422-d9b7-45f1-95b0-02fe4a32eed0","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05317"
"9c186a9f-c9b4-5c5b-bf04-928e7464f2e5","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05317","TMV Manufacture Checklist"
"357868d2-452a-52bc-9df4-9f1db936518d","","checklist-flat","not-started","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05317","Supply and Mount Warden Controlled TMV Valve Sets"
"0c16893e-883b-5624-b662-906145e270a2","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05317","Pressure Test Report QCC-01.01"
"77734a0e-29a3-4d6f-9882-b13dfbda354d","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05324"
"342d74a4-8dba-58b4-abc2-89a4d7eda429","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05324","TMV Manufacture Checklist"
"9ecafcca-9d00-5f5e-916e-3407133355fb","","checklist-flat","not-started","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05324","Supply and Mount Warden Controlled TMV Valve Sets"
"5161d54e-bcb8-50b6-97a9-fb13b7b462e0","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05324","Pressure Test Report QCC-01.01"
"4824dd58-da40-4f5f-868d-dbb7a96f4700","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05323"
"dfc0000d-f1ba-5455-9357-9570f803b9f4","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05323","TMV Manufacture Checklist"
"04a9e0df-86e1-59a2-9dac-cc45d4539c7d","","checklist-flat","not-started","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05323","Supply and Mount Warden Controlled TMV Valve Sets"
"5bdc9489-2f13-5662-b128-e47cb0b2fe4b","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05323","Pressure Test Report QCC-01.01"
"36f4732e-3574-4f44-b7af-e9a01405556e","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05316"
"1a891221-92f5-5da2-ae0e-fff71b36bc90","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05316","TMV Manufacture Checklist"
"5e647ee1-af95-5e07-aa3d-9dc0994319af","","checklist-flat","not-started","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05316","Supply and Mount Warden Controlled TMV Valve Sets"
"d3b055a5-825b-5b80-92b2-2c02b14f458e","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 271-280","NZA05316","Pressure Test Report QCC-01.01"
"17788813-cd4b-4ef3-a7f1-8d6ba0852471","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290"
"927adef7-3fe3-41f5-b24e-c1ab982573f3","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05319"
"a3538f08-17ec-5712-9b70-725c2efcc72e","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05319","TMV Manufacture Checklist"
"b9bc7dd0-5d33-5dfc-b6fc-3cc6e4f008bb","","checklist-flat","not-started","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05319","Supply and Mount Warden Controlled TMV Valve Sets"
"ef007576-6260-5bf6-abd4-5894a640cfd3","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05319","Pressure Test Report QCC-01.01"
"6e9aa6c0-f8ef-4faa-ae03-3d45109c1b18","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05312"
"10655737-77d6-57e3-bfee-dde3fe152678","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05312","TMV Manufacture Checklist"
"3c39db21-d13c-5fc0-ae5e-7703e61ae824","","checklist-flat","not-started","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05312","Supply and Mount Warden Controlled TMV Valve Sets"
"5391d751-e535-5543-802a-eb8fa1b304df","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05312","Pressure Test Report QCC-01.01"
"f3d618a3-41a9-476e-9843-835878105292","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05322"
"f56912bb-c5b5-550d-9055-a218dcdb9280","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05322","TMV Manufacture Checklist"
"85b9ae0e-84fd-5671-a90f-e27bfa9f7376","","checklist-flat","not-started","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05322","Supply and Mount Warden Controlled TMV Valve Sets"
"be29899c-6298-5911-a260-57fe7f4ba071","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05322","Pressure Test Report QCC-01.01"
"418274f2-d0ed-4cc7-a92d-4c26f0d5dab9","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05318"
"4dab2b14-c94a-5005-a44e-f6b9ce3d1f6e","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05318","TMV Manufacture Checklist"
"62bef9b6-0418-5350-b82d-7ac34ed565c1","","checklist-flat","not-started","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05318","Supply and Mount Warden Controlled TMV Valve Sets"
"df1c6568-e61d-5182-8064-88f67abd29ac","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05318","Pressure Test Report QCC-01.01"
"047e9c81-434c-4a00-9353-bd7f994d525a","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05310"
"98af5d67-f3d7-55dd-876b-4f8e473045dd","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05310","TMV Manufacture Checklist"
"714910cd-1d22-5994-bfe4-aa43f8d89abe","","checklist-flat","not-started","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05310","Supply and Mount Warden Controlled TMV Valve Sets"
"f0f860f2-25d4-5a3d-90d7-13a2e3ae3b58","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05310","Pressure Test Report QCC-01.01"
"5aec415f-eb60-45dc-b314-fde0a96efe84","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05325"
"d2bb4517-0f63-554b-a232-528871ea3994","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05325","TMV Manufacture Checklist"
"9d8df029-a591-5989-a1ad-a5153ea8ddee","","checklist-flat","not-started","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05325","Supply and Mount Warden Controlled TMV Valve Sets"
"a5917b05-4cc8-5d39-93ac-e7c224323923","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05325","Pressure Test Report QCC-01.01"
"baad4314-f0cb-41dc-8472-b342399462a4","","folder-progress","work-in-progress","","checklist","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05321"
"23ce18a6-96e3-5eeb-99a2-8188a63e7064","","checklist-flat","pass","TMV Manufacture Checklist","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05321","TMV Manufacture Checklist"
"a8da5354-e3d5-5586-bb59-8646518470d2","","checklist-flat","not-started","Supply and Mount Warden Controlled TMV Valve Sets","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05321","Supply and Mount Warden Controlled TMV Valve Sets"
"ea5dd5de-37df-5a4e-a8c5-a516f59223a3","","checklist-flat","not-started","Pressure Test Report QCC-01.01 v2","checklist-flat","FALSE","FALSE","QA - Mechanical  Inspections","TMV Box Installations","TMV Box Installation 211-310 (Location TBC)","TMV Vave Box 281-290","NZA05321","Pressure Test Report QCC-01.01"
